seq,t_offset_s,query_type,params,status,source,latency_ms,error
1,0.07355435000044963,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,scraper,31975.265014999422,
2,0.12729395000042132,Q5,{},200,scraper,10113.041786000394,
3,0.18674027100041712,Q2,"{""team"": ""limache""}",200,scraper,17071.00102700042,
4,0.26139370700002473,Q5,{},200,scraper,36442.15610399988,
5,0.39494849200036697,Q4,"{""date_from"": ""2026-05-10"", ""date_to"": ""2026-05-16""}",0,error,60006.19873100004,ReadTimeout: 
6,0.5354345030000331,Q1,"{""team"": ""huachipato""}",0,error,60006.80162899971,ReadTimeout: 
7,0.6261396150002838,Q1,"{""team"": ""coquimbo""}",0,error,60006.87508499959,ReadTimeout: 
8,0.6879904590005026,Q2,"{""team"": ""udechile""}",0,error,60006.776399000046,ReadTimeout: 
9,1.0620855810002467,Q3,"{""team_a"": ""audax"", ""team_b"": ""cobresal""}",0,error,60007.13311199979,ReadTimeout: 
10,1.0734110310004326,Q4,"{""date_from"": ""2026-05-10"", ""date_to"": ""2026-05-16""}",0,error,60006.455167999775,ReadTimeout: 
11,1.1513987289999932,Q2,"{""team"": ""palestino""}",0,error,60006.27156700011,ReadTimeout: 
12,1.2812777620001725,Q3,"{""team_a"": ""palestino"", ""team_b"": ""ucatolica""}",0,error,60006.83706899963,ReadTimeout: 
13,1.368385422000756,Q5,{},0,error,60006.523887000185,ReadTimeout: 
14,1.3791450580001765,Q5,{},0,error,60006.32451399997,ReadTimeout: 
15,1.402187018999939,Q1,"{""team"": ""huachipato""}",0,error,60005.87162500051,ReadTimeout: 
16,1.4689741310003228,Q2,"{""team"": ""limache""}",0,error,60005.91296000039,ReadTimeout: 
17,1.5748787050006285,Q2,"{""team"": ""laserena""}",0,error,60006.96184000026,ReadTimeout: 
18,1.6288060440001573,Q1,"{""team"": ""ulacalera""}",0,error,60006.09172199984,ReadTimeout: 
19,1.6585799600006794,Q1,"{""team"": ""ohiggins""}",0,error,60006.83605999984,ReadTimeout: 
20,1.7136671630005367,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",0,error,60006.426276999264,ReadTimeout: 
21,1.8948274180002045,Q5,{},0,error,60006.1049979995,ReadTimeout: 
22,2.0107400470005814,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""huachipato""}",0,error,60006.732779999766,ReadTimeout: 
