seq,t_offset_s,query_type,params,status,source,latency_ms,error
1,0.36683356599951367,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,scraper,7245.808683000178,
2,0.6328721840000071,Q5,{},200,scraper,3705.874967999989,
3,0.9288745629992263,Q2,"{""team"": ""limache""}",200,scraper,4540.133119000529,
4,1.2978815910000776,Q5,{},200,scraper,6400.74265200019,
5,1.9723927319992072,Q4,"{""date_from"": ""2026-05-10"", ""date_to"": ""2026-05-16""}",200,scraper,9394.409696000366,
6,2.6705793689998245,Q1,"{""team"": ""huachipato""}",200,scraper,8078.672947000086,
7,3.1255758339993918,Q1,"{""team"": ""coquimbo""}",200,scraper,7637.109293999856,
8,3.437368809999498,Q2,"{""team"": ""udechile""}",200,scraper,11403.468061999774,
9,5.304367744999581,Q3,"{""team_a"": ""audax"", ""team_b"": ""cobresal""}",200,scraper,9987.323678999928,
10,5.365495188999375,Q4,"{""date_from"": ""2026-05-10"", ""date_to"": ""2026-05-16""}",200,scraper,11972.570848000032,
11,5.747627535999527,Q2,"{""team"": ""palestino""}",200,scraper,13288.451356999758,
12,6.401141466999434,Q3,"{""team_a"": ""palestino"", ""team_b"": ""ucatolica""}",200,scraper,12815.508048000083,
13,6.83706395199988,Q5,{},200,cache,4.841677999138483,
14,6.893187426999248,Q5,{},200,cache,4.758475999551592,
15,7.006307628999821,Q1,"{""team"": ""huachipato""}",200,scraper,12187.210459000198,
16,7.343365863999679,Q2,"{""team"": ""limache""}",200,cache,5.341877000319073,
17,7.870982755999648,Q2,"{""team"": ""laserena""}",200,scraper,13594.50147500047,
18,8.140973444999872,Q1,"{""team"": ""ulacalera""}",200,scraper,13876.30120599988,
19,8.291099297000073,Q1,"{""team"": ""ohiggins""}",200,scraper,14117.31202899955,
20,8.563095154999246,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,scraper,18022.914489999494,
21,9.46266782999919,Q5,{},200,cache,5.4306059992086375,
22,10.047922976999871,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""huachipato""}",200,scraper,16063.995395000347,
23,10.2248461829995,Q2,"{""team"": ""ucatolica""}",200,scraper,17001.077539000107,
24,10.458124673999919,Q5,{},200,cache,4.4902740000907215,
25,10.626988214999983,Q4,"{""date_from"": ""2026-06-21"", ""date_to"": ""2026-06-27""}",200,scraper,21647.404323000046,
26,12.405000632999872,Q3,"{""team_a"": ""audax"", ""team_b"": ""palestino""}",200,scraper,18347.35114200066,
27,12.695564276999903,Q1,"{""team"": ""audax""}",200,scraper,17855.359363999924,
28,12.730863806999878,Q5,{},200,cache,5.382326000471949,
29,13.07075946399982,Q5,{},200,cache,4.15506599983928,
30,13.087223630999688,Q5,{},200,cache,4.587255999467743,
31,14.480313579999347,Q5,{},200,cache,4.901717000393546,
32,14.884219210000083,Q2,"{""team"": ""palestino""}",200,scraper,19613.243812999826,
