seq,t_offset_s,query_type,params,status,source,latency_ms,error
1,0.36682069299968134,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,scraper,6686.190162000457,
2,0.6327838569995947,Q2,"{""team"": ""udechile""}",200,cache,17.96772600027907,
3,0.9287638759997208,Q5,{},200,cache,13.081824999972014,
4,1.2973245769999266,Q4,"{""date_from"": ""2026-07-12"", ""date_to"": ""2026-07-18""}",200,scraper,6339.884257000449,
5,1.972802774000229,Q1,"{""team"": ""udechile""}",200,cache,7.273267000527994,
6,2.6710099060001085,Q1,"{""team"": ""udechile""}",200,cache,3.745705999790516,
7,3.126404571999956,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,3.602894000323431,
8,3.4374066150003273,Q1,"{""team"": ""coquimbo""}",200,cache,4.264829000021564,
9,5.305348975000015,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,3.403809999326768,
10,5.364979820999906,Q3,"{""team_a"": ""laserena"", ""team_b"": ""udechile""}",200,cache,3.1610590003765537,
11,5.747678218000146,Q1,"{""team"": ""limache""}",200,cache,3.238174999751209,
12,6.40074125800038,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,scraper,6250.621895999757,
13,6.837882238999555,Q1,"{""team"": ""ohiggins""}",200,cache,4.056654000123672,
14,6.893216716999632,Q2,"{""team"": ""udechile""}",200,cache,3.88702399959584,
15,7.006475182000031,Q1,"{""team"": ""nublense""}",200,cache,3.2420640000054846,
16,7.343567590000021,Q4,"{""date_from"": ""2026-08-09"", ""date_to"": ""2026-08-15""}",200,scraper,5823.278753000523,
17,7.871639994999896,Q5,{},200,cache,3.1978269998944597,
18,8.141333876999852,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""limache""}",200,cache,4.177218000222638,
19,8.290840779000064,Q2,"{""team"": ""colocolo""}",200,cache,3.663145000246004,
20,8.564056434000122,Q5,{},200,cache,3.842471999632835,
21,9.462975708000158,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,cache,3.187502999935532,
22,10.047965435999686,Q3,"{""team_a"": ""nublense"", ""team_b"": ""udechile""}",200,cache,3.2646789995851577,
23,10.223577185999602,Q1,"{""team"": ""udechile""}",200,cache,3.382447999683791,
24,10.45843087799949,Q2,"{""team"": ""udechile""}",200,cache,4.0467850003551575,
25,10.626882614000351,Q2,"{""team"": ""udechile""}",200,cache,4.469547000553575,
26,12.405337531999976,Q2,"{""team"": ""colocolo""}",200,cache,4.055901999890921,
27,12.69562206899991,Q2,"{""team"": ""udechile""}",200,cache,3.2001829995351727,
28,12.73108244299965,Q2,"{""team"": ""udechile""}",200,cache,3.4317339996050578,
29,13.071105465999608,Q5,{},200,cache,3.18163799965987,
30,13.08650894099992,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,scraper,6059.909209999205,
31,14.479357303999677,Q1,"{""team"": ""coquimbo""}",200,cache,4.015704999801528,
32,14.884988591000365,Q1,"{""team"": ""udechile""}",200,cache,3.5104469998259447,
33,15.06188302299961,Q5,{},200,cache,3.533172000061313,
34,15.521279075000166,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,scraper,6190.668926999933,
35,16.022574798000278,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,cache,3.5878649996448075,
36,16.086449544999596,Q5,{},200,cache,4.539704999842797,
37,16.17131273999985,Q2,"{""team"": ""udechile""}",200,cache,4.574731000502652,
