seq,t_offset_s,query_type,params,status,source,latency_ms,error
1,0.3668266160002531,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,cache,15.964655000061612,
2,0.6327249989999473,Q2,"{""team"": ""udechile""}",200,cache,13.021416999436042,
3,0.9289486550005677,Q5,{},200,cache,11.21088600029907,
4,1.2981646340003863,Q4,"{""date_from"": ""2026-07-12"", ""date_to"": ""2026-07-18""}",200,cache,9.855985000285727,
5,1.9731977270002972,Q1,"{""team"": ""udechile""}",200,cache,10.641093999765872,
6,2.6712081610003224,Q1,"{""team"": ""udechile""}",200,cache,7.778109999890148,
7,3.1258859270001267,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,10.494888999346585,
8,3.438206937999894,Q1,"{""team"": ""coquimbo""}",200,cache,11.581892000322114,
9,5.306254907000039,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,11.711777999153128,
10,5.365518932000668,Q3,"{""team_a"": ""laserena"", ""team_b"": ""udechile""}",200,cache,9.729198999593791,
11,5.748149840000224,Q1,"{""team"": ""limache""}",200,cache,10.472952999407426,
12,6.400889264000398,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,cache,10.633370000505238,
13,6.837557097000172,Q1,"{""team"": ""ohiggins""}",200,cache,10.717361000388337,
14,6.8928875050005445,Q2,"{""team"": ""udechile""}",200,cache,11.488246000226354,
15,7.006924658000571,Q1,"{""team"": ""nublense""}",200,cache,10.384480999164225,
16,7.343270320000556,Q4,"{""date_from"": ""2026-08-09"", ""date_to"": ""2026-08-15""}",200,cache,10.466372999871965,
17,7.871833867000532,Q5,{},200,cache,11.094180999862147,
18,8.141869226999916,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""limache""}",200,cache,10.096995999447245,
19,8.291621258000305,Q2,"{""team"": ""colocolo""}",200,scraper,4296.556455000427,
20,8.563171540999974,Q5,{},200,cache,14.462654999988445,
21,9.463137818000178,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,scraper,5491.9011980000505,
22,10.047238043000107,Q3,"{""team_a"": ""nublense"", ""team_b"": ""udechile""}",200,cache,3.494420000606624,
23,10.223175969000295,Q1,"{""team"": ""udechile""}",200,cache,2.880713999729778,
24,10.458325116000196,Q2,"{""team"": ""udechile""}",200,cache,3.6795270007132785,
25,10.626423706000423,Q2,"{""team"": ""udechile""}",200,cache,5.60116199994809,
26,12.406096054000045,Q2,"{""team"": ""colocolo""}",200,scraper,3230.041662000076,
27,12.695605491000606,Q2,"{""team"": ""udechile""}",200,cache,5.496609999681823,
28,12.732103083000766,Q2,"{""team"": ""udechile""}",200,cache,4.690993000622257,
29,13.071230579000257,Q5,{},200,cache,3.531607000695658,
30,13.0870486419999,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,cache,3.700059000038891,
31,14.479209617000379,Q1,"{""team"": ""coquimbo""}",200,cache,3.289456999482354,
32,14.885066494000057,Q1,"{""team"": ""udechile""}",200,cache,2.933411000412889,
33,15.06132614300077,Q5,{},200,cache,3.461910999249085,
34,15.521432999999888,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,cache,2.9720939992330386,
35,16.02206860500064,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,cache,10.976321999805805,
36,16.08666867300053,Q5,{},200,cache,11.341038999489683,
37,16.171693979000338,Q2,"{""team"": ""udechile""}",200,cache,12.009435999971174,
38,16.298257203000503,Q2,"{""team"": ""udechile""}",200,cache,13.702454999474867,
39,17.3299207150003,Q2,"{""team"": ""laserena""}",200,scraper,5019.089888000053,
40,17.59940161600025,Q5,{},200,cache,11.38100400021358,
41,17.8176251040004,Q2,"{""team"": ""coquimbo""}",200,scraper,4737.298406999798,
42,17.905195169000763,Q2,"{""team"": ""everton""}",200,scraper,4761.874433999765,
43,19.049530532000063,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,5.411525999988953,
44,19.768801859000632,Q2,"{""team"": ""colocolo""}",200,cache,3.3032930004992522,
45,20.12669315200037,Q2,"{""team"": ""colocolo""}",200,cache,4.446246000043175,
46,21.03120913300063,Q5,{},200,cache,3.1381799999508075,
47,21.05761455100037,Q2,"{""team"": ""udechile""}",200,cache,4.821421000087867,
48,22.639199663,Q5,{},200,cache,2.9687969999940833,
49,24.394348103000084,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,6.452646999605349,
50,24.841676908999943,Q1,"{""team"": ""udechile""}",200,cache,11.106767999990552,
51,25.633203066000533,Q4,"{""date_from"": ""2026-08-09"", ""date_to"": ""2026-08-15""}",200,cache,10.99370599968097,
52,26.00317848600025,Q2,"{""team"": ""udechile""}",200,cache,13.215275000220572,
53,26.207494197000415,Q2,"{""team"": ""cobresal""}",200,scraper,3704.2970800002877,
54,26.268132564000553,Q3,"{""team_a"": ""huachipato"", ""team_b"": ""limache""}",200,cache,7.066129000122601,
55,26.395736278000186,Q5,{},200,cache,11.500010000418115,
56,26.686145303000558,Q1,"{""team"": ""coquimbo""}",200,cache,8.771302000241121,
57,27.201624549999906,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,cache,3.705701999933808,
58,27.24356020600044,Q2,"{""team"": ""coquimbo""}",200,cache,3.1021820004752954,
59,28.253913835000276,Q1,"{""team"": ""udechile""}",200,cache,3.300918999229907,
60,28.518640558000698,Q3,"{""team_a"": ""audax"", ""team_b"": ""udeconce""}",200,cache,3.005362999829231,
61,30.571059724000406,Q5,{},200,cache,11.476085000140301,
62,32.71030860100018,Q2,"{""team"": ""colocolo""}",200,cache,12.936092000018107,
63,33.17059637300008,Q1,"{""team"": ""everton""}",200,cache,10.680728000806994,
64,33.759447430000364,Q5,{},200,cache,11.343913000018802,
65,33.952604611000424,Q2,"{""team"": ""coquimbo""}",200,cache,12.810254000214627,
66,34.10245083300015,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,cache,10.581479999927978,
67,34.68620099800046,Q5,{},200,cache,11.110110000117857,
68,34.738950062000185,Q3,"{""team_a"": ""everton"", ""team_b"": ""udechile""}",200,cache,9.532602000035695,
69,35.30256992300019,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,10.446100999615737,
70,35.59685651000018,Q2,"{""team"": ""udechile""}",200,cache,13.252276000457641,
