seq,t_offset_s,query_type,params,status,source,latency_ms,error
1,0.36683270300000004,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,cache,14.280606999818701,
2,0.6329472099996565,Q2,"{""team"": ""udechile""}",200,cache,4.944481999700656,
3,0.9287116329996934,Q5,{},200,cache,11.40094400034286,
4,1.2978279319995636,Q4,"{""date_from"": ""2026-07-12"", ""date_to"": ""2026-07-18""}",200,cache,2.566516999650048,
5,1.9734824569995908,Q1,"{""team"": ""udechile""}",200,cache,10.826406999512983,
6,2.6706384149993028,Q1,"{""team"": ""udechile""}",200,cache,10.577385000033246,
7,3.1262256989994057,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,10.833678000381042,
8,3.4378976349998993,Q1,"{""team"": ""coquimbo""}",200,cache,10.742969000602898,
9,5.305339025999274,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,10.136062999663409,
10,5.3650467679999565,Q3,"{""team_a"": ""laserena"", ""team_b"": ""udechile""}",200,cache,10.358477999943716,
11,5.747304586999235,Q1,"{""team"": ""limache""}",200,cache,6.487186000413203,
12,6.400852371999463,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,cache,10.782783000649943,
13,6.837362500999916,Q1,"{""team"": ""ohiggins""}",200,cache,12.100922000172432,
14,6.893139472999792,Q2,"{""team"": ""udechile""}",200,cache,13.438402000247152,
15,7.006640562999564,Q1,"{""team"": ""nublense""}",200,cache,11.606166999627021,
16,7.343182337999679,Q4,"{""date_from"": ""2026-08-09"", ""date_to"": ""2026-08-15""}",200,scraper,6434.57551100073,
17,7.872147290999237,Q5,{},200,cache,3.9103939998312853,
18,8.14148684599968,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""limache""}",200,cache,3.3023329997377004,
19,8.291081786999712,Q2,"{""team"": ""colocolo""}",200,cache,4.602074000104039,
20,8.564224593999825,Q5,{},200,cache,4.1416140002183965,
21,9.462473435999527,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,scraper,5473.761586999899,
22,10.047846006999862,Q3,"{""team_a"": ""nublense"", ""team_b"": ""udechile""}",200,cache,5.1683390001926455,
23,10.223422849999224,Q1,"{""team"": ""udechile""}",200,cache,4.908652999802143,
24,10.4577906479999,Q2,"{""team"": ""udechile""}",200,cache,4.222310999466572,
25,10.626559779999297,Q2,"{""team"": ""udechile""}",200,cache,5.136583000421524,
26,12.40515444399989,Q2,"{""team"": ""colocolo""}",200,cache,4.791758999999729,
27,12.69651932799934,Q2,"{""team"": ""udechile""}",200,cache,3.6367040002005524,
28,12.73142941199967,Q2,"{""team"": ""udechile""}",200,cache,4.013729999314819,
29,13.071078359999774,Q5,{},200,cache,3.8804979994893074,
30,13.087641228999928,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,cache,3.6430019999897922,
31,14.479652792999332,Q1,"{""team"": ""coquimbo""}",200,cache,2.965823000522505,
32,14.885059339999316,Q1,"{""team"": ""udechile""}",200,cache,2.9113740001776023,
33,15.061824544000046,Q5,{},200,cache,12.192698999569984,
34,15.522044906999326,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,cache,10.840501000529912,
35,16.023019630999443,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,cache,11.129943000014464,
36,16.08775135399992,Q5,{},200,cache,11.2572319994797,
37,16.171662423999805,Q2,"{""team"": ""udechile""}",200,cache,6.876192999698105,
38,16.299212745999284,Q2,"{""team"": ""udechile""}",200,cache,13.803304000248318,
39,17.33095633299945,Q2,"{""team"": ""laserena""}",200,cache,14.967241000704234,
40,17.599057807999998,Q5,{},200,cache,11.428582000007736,
41,17.817321180999897,Q2,"{""team"": ""coquimbo""}",200,cache,13.406964000751032,
42,17.904677392999474,Q2,"{""team"": ""everton""}",200,cache,13.503883000339556,
43,19.04867107499922,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,11.20319700021355,
44,19.76913932199932,Q2,"{""team"": ""colocolo""}",200,cache,12.012707000394585,
45,20.12697176399979,Q2,"{""team"": ""colocolo""}",200,cache,14.498503000140772,
46,21.031455512999855,Q5,{},200,cache,11.143595000248752,
47,21.058192505999614,Q2,"{""team"": ""udechile""}",200,cache,12.684545000411163,
48,22.641260987999885,Q5,{},200,cache,11.572145999707573,
