seq,t_offset_s,query_type,params,status,source,latency_ms,error
1,0.3667795670007763,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,scraper,7999.326471999666,
2,0.6325972190006723,Q2,"{""team"": ""udechile""}",200,scraper,5616.489050999007,
3,0.9296556879999116,Q5,{},200,scraper,4494.706495001083,
4,1.297817741999097,Q4,"{""date_from"": ""2026-07-12"", ""date_to"": ""2026-07-18""}",200,scraper,10560.414864999984,
5,1.9732181260005746,Q1,"{""team"": ""udechile""}",200,scraper,8518.713356999797,
6,2.6715721750006196,Q1,"{""team"": ""udechile""}",200,scraper,8172.894952000206,
7,3.125809355999081,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,scraper,11972.072279000713,
8,3.437701371000003,Q1,"{""team"": ""coquimbo""}",200,scraper,10840.422974999456,
9,5.305689303999316,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,scraper,9813.234073000785,
10,5.3648216250003316,Q3,"{""team_a"": ""laserena"", ""team_b"": ""udechile""}",200,scraper,12394.671201000165,
11,5.747942523999882,Q1,"{""team"": ""limache""}",200,scraper,11664.487812000516,
12,6.400496296000711,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,scraper,15073.038843000177,
13,6.837804061000497,Q1,"{""team"": ""ohiggins""}",200,scraper,13936.148746999606,
14,6.896518878000279,Q2,"{""team"": ""udechile""}",200,cache,6.517935000374564,
15,7.007495769999878,Q1,"{""team"": ""nublense""}",200,scraper,14349.809885001378,
16,7.343546074000187,Q4,"{""date_from"": ""2026-08-09"", ""date_to"": ""2026-08-15""}",200,scraper,19409.209285999168,
17,7.8721053389999724,Q5,{},200,cache,5.101618000480812,
18,8.141704137000488,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""limache""}",200,scraper,18190.69566700091,
19,8.290804542999467,Q2,"{""team"": ""colocolo""}",200,scraper,17567.274037999596,
20,8.563503015999231,Q5,{},200,cache,3.794612999627134,
21,9.46193292099997,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,scraper,23035.07445300056,
22,10.047313561999545,Q3,"{""team_a"": ""nublense"", ""team_b"": ""udechile""}",200,scraper,20968.860626000605,
23,10.224595368999871,Q1,"{""team"": ""udechile""}",200,scraper,19371.440696999343,
24,10.457839434000562,Q2,"{""team"": ""udechile""}",200,cache,4.830986999877496,
25,10.627274222000779,Q2,"{""team"": ""udechile""}",200,cache,4.007158999229432,
26,12.404032847000053,Q2,"{""team"": ""colocolo""}",200,scraper,21994.667665001543,
27,12.695453887999975,Q2,"{""team"": ""udechile""}",200,cache,4.96707099955529,
28,12.73176227300064,Q2,"{""team"": ""udechile""}",200,cache,5.549266999878455,
29,13.070989489999192,Q5,{},200,cache,4.081566999957431,
30,13.086413711000205,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,scraper,24901.663548000215,
31,14.477533487999608,Q1,"{""team"": ""coquimbo""}",200,cache,3.6990569988120114,
32,14.884892010999465,Q1,"{""team"": ""udechile""}",200,cache,4.540267998891068,
33,15.061808643000404,Q5,{},200,cache,3.972897000494413,
34,15.521510266000405,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,scraper,23970.16864000034,
35,16.021972234000714,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,scraper,27717.629492000924,
36,16.087530597000296,Q5,{},200,cache,4.038749999381253,
37,16.170867692000684,Q2,"{""team"": ""udechile""}",200,cache,4.492729000048712,
38,16.29772542899991,Q2,"{""team"": ""udechile""}",200,cache,4.046281001137686,
