seq,t_offset_s,query_type,params,status,source,latency_ms,error
72,36.02811590800047,Q3,"{""team_a"": ""palestino"", ""team_b"": ""udechile""}",200,cache,4.092842999853019,
73,36.486738362000324,Q5,{},200,cache,4.679730000134441,
74,36.92868560399984,Q2,"{""team"": ""depconce""}",200,scraper,23100.17132200028,
75,37.502050195000265,Q1,"{""team"": ""nublense""}",200,cache,4.187694000393094,
76,39.52273392300049,Q3,"{""team_a"": ""laserena"", ""team_b"": ""ucatolica""}",200,scraper,19972.796747999382,
77,40.38843631800046,Q5,{},200,cache,3.268784000283631,
78,40.66121523299989,Q5,{},200,cache,3.6842349991275114,
79,40.715138962999845,Q3,"{""team_a"": ""huachipato"", ""team_b"": ""limache""}",200,cache,3.090359999987413,
80,41.02112965500055,Q1,"{""team"": ""ohiggins""}",200,cache,3.756897000130266,
81,42.660727235000195,Q5,{},200,cache,4.357897999398119,
82,42.84147188299994,Q5,{},200,cache,3.8940999993428704,
83,43.525263405999794,Q2,"{""team"": ""colocolo""}",200,scraper,16451.93407500028,
84,43.566090985999836,Q2,"{""team"": ""coquimbo""}",200,scraper,19976.91615399981,
85,44.20574160900014,Q1,"{""team"": ""cobresal""}",200,scraper,18530.456806000075,
86,45.49786715299979,Q5,{},200,cache,3.3659740001894534,
87,45.524460067999826,Q5,{},200,cache,3.7045150002086302,
88,45.74388994800029,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udeconce""}",200,scraper,19089.85042599943,
89,46.860925715999656,Q1,"{""team"": ""cobresal""}",200,scraper,15915.870867000194,
90,47.6637142540003,Q5,{},200,cache,6.229588000678632,
91,48.10256929099978,Q1,"{""team"": ""huachipato""}",200,cache,3.8975569996182458,
92,48.40598264599976,Q5,{},200,cache,4.229637000207731,
93,48.96679169900017,Q5,{},200,cache,4.918401999930211,
94,49.6062949520001,Q5,{},200,cache,3.611142000409018,
95,49.65425234699978,Q4,"{""date_from"": ""2026-07-05"", ""date_to"": ""2026-07-11""}",200,scraper,20061.540755999886,
