seq,t_offset_s,query_type,params,status,source,latency_ms,error
1,0.36691641900051764,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,cache,14.913889999661478,
2,0.6336466220000148,Q2,"{""team"": ""udechile""}",200,scraper,3749.851936999221,
3,0.9294085550000091,Q5,{},200,cache,14.599182999518234,
4,1.2979908200004502,Q4,"{""date_from"": ""2026-07-12"", ""date_to"": ""2026-07-18""}",200,cache,10.02719000007346,
5,1.973099531999651,Q1,"{""team"": ""udechile""}",200,cache,3.318620999380073,
6,2.671227050000198,Q1,"{""team"": ""udechile""}",200,cache,2.6766749997477746,
7,3.1255200639998293,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,2.6472409999769297,
8,3.437663079000231,Q1,"{""team"": ""coquimbo""}",200,cache,3.681606000100146,
9,5.304936786000326,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,10.784080999655998,
10,5.365340080000351,Q3,"{""team_a"": ""laserena"", ""team_b"": ""udechile""}",200,cache,10.92141899971466,
11,5.747910775000491,Q1,"{""team"": ""limache""}",200,cache,2.83829100044386,
12,6.401787794000484,Q4,"{""date_from"": ""2026-09-06"", ""date_to"": ""2026-09-12""}",200,cache,8.850761999383394,
13,6.837518004999765,Q1,"{""team"": ""ohiggins""}",200,cache,8.222305000344932,
14,6.893140019999919,Q2,"{""team"": ""udechile""}",200,cache,12.30278300045029,
15,7.007028142000308,Q1,"{""team"": ""nublense""}",200,cache,10.760732000562712,
16,7.343725085000187,Q4,"{""date_from"": ""2026-08-09"", ""date_to"": ""2026-08-15""}",200,cache,10.568497000349453,
17,7.872400486000515,Q5,{},200,cache,11.20154399995954,
18,8.141519210000297,Q3,"{""team_a"": ""cobresal"", ""team_b"": ""limache""}",200,cache,10.2733409994471,
19,8.291481365000436,Q2,"{""team"": ""colocolo""}",200,scraper,3276.19987900016,
20,8.563174552999953,Q5,{},200,cache,14.89663099982863,
21,9.462338893999913,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,cache,4.069727000569401,
22,10.048212673999842,Q3,"{""team_a"": ""nublense"", ""team_b"": ""udechile""}",200,cache,2.7686429993991624,
23,10.223175043000083,Q1,"{""team"": ""udechile""}",200,cache,3.0166149999786285,
24,10.457595595000384,Q2,"{""team"": ""udechile""}",200,cache,3.383682999810844,
25,10.626351646999865,Q2,"{""team"": ""udechile""}",200,cache,3.5942889999205363,
26,12.405046507999941,Q2,"{""team"": ""colocolo""}",200,cache,13.241618000392918,
27,12.695457056999658,Q2,"{""team"": ""udechile""}",200,cache,11.986029000581766,
28,12.731927799000005,Q2,"{""team"": ""udechile""}",200,cache,12.745367000206898,
29,13.070882512000026,Q5,{},200,cache,12.003861999801302,
30,13.086555531000158,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,cache,10.113637999893399,
31,14.479649552999945,Q1,"{""team"": ""coquimbo""}",200,cache,12.253714000507898,
32,14.884908877999806,Q1,"{""team"": ""udechile""}",200,cache,10.90411099994526,
33,15.062587587000053,Q5,{},200,cache,11.391389999516832,
34,15.522080788000494,Q4,"{""date_from"": ""2026-08-30"", ""date_to"": ""2026-09-05""}",200,cache,10.932087000583124,
35,16.02211407699997,Q4,"{""date_from"": ""2026-07-26"", ""date_to"": ""2026-08-01""}",200,cache,11.129710999739473,
36,16.08684871800051,Q5,{},200,cache,10.849160999896412,
37,16.171378285999708,Q2,"{""team"": ""udechile""}",200,cache,13.038787999903434,
38,16.29739054499987,Q2,"{""team"": ""udechile""}",200,cache,12.729783999930078,
39,17.330119408000428,Q2,"{""team"": ""laserena""}",200,scraper,4582.441653000387,
40,17.59963354899992,Q5,{},200,cache,8.97722599984263,
41,17.817259868000292,Q2,"{""team"": ""coquimbo""}",200,scraper,4340.333946000101,
42,17.905020506000255,Q2,"{""team"": ""everton""}",200,scraper,4296.435267000561,
43,19.04865809600051,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,3.235506000237365,
44,19.76881022700036,Q2,"{""team"": ""colocolo""}",200,cache,5.292202000418911,
45,20.12675373500042,Q2,"{""team"": ""colocolo""}",200,cache,5.6288919995495235,
46,21.030585299999984,Q5,{},200,cache,4.321049999816751,
